contact_sheet_id,old_filename,reviewed_filename,review_basis
0001,a-black-and-white-image-of-a-music-production-desk-at-checkmark-audio-featuring-dual-computer-monitors-displaying-a-digital-audio-workstation-daw.jpeg,music-production-desk-black-and-white.jpg,visual contact-sheet review
0002,a-black-and-white-image-of-a-recording-studio-with-a-sign-that-reads-checkmark-recording-studio-the-sign-features-an-illustration-of-a-woman-singing-i.jpg,checkmark-audio-studio-sign-black-and-white.jpg,visual contact-sheet review
0003,a-black-and-white-photograph-of-a-large-crowd-at-a-concert-with-hands-raised-in-the-air-capturing-the-energy-of-the-live-performance.png,live-concert-crowd-black-and-white.png,visual contact-sheet review
0004,a-black-and-white-photograph-of-a-music-production-desk-setup-with-two-computer-monitors-displaying-audio-editing-software-studio-monitors-are-positio.jpg,music-production-desk-black-and-white-view-02.jpg,visual contact-sheet review
0005,a-black-and-white-photograph-of-a-recording-studio-setup-featuring-a-microphone-stand-guitars-and-acoustic-panels-with-geometric-designs-mounted-on-th-alternate-02.jpg,studio-b-instrument-room-black-and-white.jpg,visual contact-sheet review
0006,a-black-and-white-photograph-of-a-recording-studio-setup-featuring-a-microphone-stand-guitars-and-acoustic-panels-with-geometric-designs-mounted-on-th.jpg,studio-b-instrument-room-black-and-white-view-02.jpg,visual contact-sheet review
0008,a-close-up-shot-of-a-microphone-in-a-recording-booth-at-checkmark-audio-bathed-in-a-blue-green-light-the-background-features-a-patterned-wall-and-soun.jpg,vocal-booth-microphone-blue-green-light.jpg,visual contact-sheet review
0009,a-close-up-shot-of-a-rack-of-professional-audio-equipment-including-various-compressors-equalizers-and-preamps-the-knobs-and-meters-are-illuminated-an-alternate-02.jpg,studio-compressor-rack-close-up.jpg,visual contact-sheet review
0010,a-close-up-shot-of-a-rack-of-professional-audio-equipment-including-various-compressors-equalizers-and-preamps-the-knobs-and-meters-are-illuminated-an.jpeg,studio-compressor-rack-close-up-view-02.jpg,visual contact-sheet review
0011,a-close-up-shot-of-various-audio-equipment-knobs-and-dials-in-a-recording-studio-showcasing-the-detailed-controls-for-sound-engineering-and-mixing-at-alternate-02.jpg,studio-audio-controls-close-up.jpg,visual contact-sheet review
0012,a-close-up-shot-of-various-audio-equipment-knobs-and-dials-in-a-recording-studio-showcasing-the-detailed-controls-for-sound-engineering-and-mixing-at.jpg,studio-audio-controls-close-up-view-02.jpg,visual contact-sheet review
0013,a-hallway-in-a-music-studio-featuring-colorful-murals-of-musicians-holding-guitars-the-walls-are-painted-in-bright-shades-of-turquoise-and-orange-and.jpg,studio-hallway-musician-murals.jpg,visual contact-sheet review
0014,a-portrait-of-rapper-daecrazo-looking-upward-against-a-backdrop-of-geometric-black-and-white-soundproofing-panels.jpg,daecrazo-studio-portrait.jpg,visual contact-sheet review
0015,a-recording-studio-lounge-area-with-a-bright-red-wall-and-a-black-door-with-green-soundproofing-panels-a-person-is-seated-on-a-couch-focused-on-their.jpg,studio-waiting-area-red-wall.jpg,visual contact-sheet review
0016,a-side-profile-of-a-marz-at-checkmark-audio-wearing-sunglasses-and-a-jersey-with-his-hair-styled-in-braids-alternate-02.jpg,marz-studio-side-profile.jpg,visual contact-sheet review
0017,a-side-profile-of-a-marz-at-checkmark-audio-wearing-sunglasses-and-a-jersey-with-his-hair-styled-in-braids.jpg,marz-studio-side-profile-view-02.jpg,visual contact-sheet review
0018,a-studio-microphone-set-up-in-front-of-a-mixing-console-with-glowing-meters-and-a-soft-background-blur-capturing-the-essence-of-vocal-recording-in-a-p-alternate-02.jpg,vocal-recording-microphone-console.jpg,visual contact-sheet review
0019,a-studio-microphone-set-up-in-front-of-a-mixing-console-with-glowing-meters-and-a-soft-background-blur-capturing-the-essence-of-vocal-recording-in-a-p.jpg,vocal-recording-microphone-console-view-02.jpg,visual contact-sheet review
0020,a-vibrant-recording-studio-setup-with-multiple-pieces-of-audio-equipment-including-synthesizers-mixers-and-studio-monitors-the-walls-are-adorned-with.jpg,music-production-studio-gear.jpg,visual contact-sheet review
0021,acoustic-guitars-and-custom-soundproofing-in-studio-a-at-checkmark-audio-creating-a-professional-environment-for-music-production-alternate-02.jpg,studio-a-acoustic-guitars-and-panels.jpg,visual contact-sheet review
